G,Temp,Vmpp,Impp,Pmpp
1000,25,30.0572907975598,36.5788057972165,1099.4598028744
990,25,30.1170494419658,36.5095811964467,1099.56086199885
980,25,30.1198195927998,36.5055671700084,1099.54109729349
970,25,30.1422346407031,36.4784471397256,1099.5419130141
960,25,30.0965972695854,36.5337510301086,1099.54159150048
950,25,30.1057597694499,36.5227913400085,1099.54638219204
940,25,30.128661452851,36.4950862868132,1099.54809942798
930,25,30.1380969815262,36.4835919154413,1099.546031382
920,25,30.125730423287,36.4986702194266,1099.5490998389
910,25,30.1001738485769,36.5294931551989,1099.54409457189
900,25,30.1267020871293,36.4974892263939,1099.54898485178
890,25,30.1203030323269,36.1393963521034,1088.52956953072
880,25,30.1233600806819,36.1356791243234,1088.52807402197
870,25,30.118937433247,36.1409853818258,1088.5280774911
860,25,30.1299763327658,36.1277003281941,1088.52675584574
850,25,30.1106858528661,36.1508591934097,1088.52716448395
840,25,30.1333140252759,36.1236655239911,1088.52575697846
830,25,30.1288446410755,36.129065202061,1088.52699250018
820,25,30.1070024786271,36.1552505267935,1088.52621722555
810,25,30.1284673674892,36.1295201412751,1088.52706857945
800,25,30.1216048182403,36.1377809223076,1088.5279559499
790,25,30.1299813964396,36.1276922316719,1088.52669483657
780,25,30.123650571378,35.7693206324164,1077.5025159065
770,25,30.1087491766045,35.7869855027304,1077.50137028849
760,25,30.1028721296761,35.7939107833243,1077.49951933145
750,25,30.1192601335067,35.7745137933179,1077.50188709067
740,25,30.1253930711801,35.7672076220576,1077.50118867299
730,25,30.1353261281426,35.7553185575797,1077.49818554829
720,25,30.1183431490797,35.7756044936737,1077.50193250622
710,25,30.138906412293,35.7510155986562,1077.49651327233
700,25,30.1394659271509,35.7503424848722,1077.49622920678
690,25,30.127923423914,35.7641854233593,1077.50063975363
680,25,30.11627832013,35.7780572457605,1077.50192976687
670,25,30.0950943674828,35.803050175652,1077.49617367997
660,25,30.1138462003564,35.4146522877685,1066.47139223296
650,25,30.1194580545739,35.4080418347456,1066.47103083622
640,25,30.1245361687095,35.4020444232256,1066.47016767372
